id,Price
1,122
2,149
3,194
4,185
5,198
6,166
7,147
8,161
9,174
10,169
11,171
12,128
13,157
14,180
15,174
16,135
17,166
18,160
19,144
20,152
21,132
22,132
23,151
24,167
25,165
26,176
27,168
28,136
29,141
30,156
31,126
32,157
33,153
34,162
35,175
36,187
37,159
38,185
39,188
40,174
41,189
42,151
43,172
44,133
45,172
46,130
47,160
48,147
49,187
50,192
51,192
52,189
53,143
54,135
55,151
56,177
57,165
58,185
59,159
60,173
61,122
62,173
63,168
64,172
65,155
66,139
67,198
68,175
69,178
70,168
71,183
72,137
73,162
74,169
75,138
76,162
77,183
78,130
79,187
80,184
81,189
82,182
83,144
84,140
85,145
86,184
87,185
88,122
89,138
90,198
91,176
92,123
93,150
94,160
95,196
96,190
97,150
98,138
99,139
100,189
101,187
102,123
103,163
104,151
105,189
106,171
107,156
108,175
109,179
110,144
111,187
112,130
113,134
114,155
115,181
116,145
117,195
118,166
119,135
120,141
121,123
122,164
123,186
124,136
125,125
126,141
127,123
128,180
129,154
130,180
131,172
132,162
133,173
134,182
135,138
136,145
137,153
138,179
139,194
140,185
141,147
142,161
143,156
144,168
145,130
146,159
147,158
148,146
149,135
150,127
151,172
152,161
153,199
154,147
155,152
156,150
157,179
158,139
159,175
160,165
161,126
162,168
163,170
164,191
165,120
166,193
167,179
168,156
169,153
170,164
171,150
172,148
173,131
174,139
175,134
176,183
177,174
178,129
179,132
180,198
181,152
182,197
183,152
184,124
185,159
186,151
187,139
188,133
189,196
190,181
191,157
192,167
193,127
194,169
195,197
196,181
197,179
198,146
199,138
200,151
201,176
202,124
203,123
204,167
205,197
206,170
207,151
208,187
209,170
210,167
211,153
212,188
213,137
214,127
215,128
216,172
217,179
218,136
219,144
220,122
221,158
222,120
223,122
224,171
225,128
226,181
227,153
228,184
229,137
230,164
231,155
232,168
233,189
234,176
235,165
236,132
237,192
238,122
239,181
240,130
241,149
242,181
243,180
244,124
245,177
246,168
247,154
248,157
249,128
250,144
